submission_id;age;comments;education;emphasis;experiment_duration;experiment_end_time;experiment_start_time;fragmentType_Acceptability;gender;languages;modality;prolific_pid;prolific_session_id;prolific_study_id;response;responseTime;trial_number;trial_type
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;B;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;6;7593;43;Filler
21;29;;Höherer Abschluss;without;555035;1,69021E+12;1,69021E+12;L;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7160;44;Critical
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;F;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;8104;45;Critical
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;D;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;2;10696;46;Filler
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;L;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7507;47;Critical
21;29;;Höherer Abschluss;without;555035;1,69021E+12;1,69021E+12;L;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7880;48;Critical
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;B;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;10021;49;Filler
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;B;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;10249;50;Filler
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;A;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;9195;51;Filler
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;F;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7950;52;Critical
21;29;;Höherer Abschluss;without;555035;1,69021E+12;1,69021E+12;L;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7865;53;Critical
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;E;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;4;8487;54;Filler
21;29;;Höherer Abschluss;without;555035;1,69021E+12;1,69021E+12;F;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7021;55;Critical
21;29;;Höherer Abschluss;with;555035;1,69021E+12;1,69021E+12;A;männlich;Deutsch;auditory;5d8c96e60ef92e001a7b8876;64be99c329ecc01727f259be;64ba4c8d312ce994ea1f9971;7;7528;56;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;12332;1;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3268;2;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;4228;3;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;5618;4;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;65460;5;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3994;6;Critical
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3874;7;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;2964;8;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;3800;9;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;5;2087;10;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2942;11;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;B;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;4;8561;12;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;2254;13;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;E;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;1;6457;14;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;E;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;4;4734;15;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;A;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2628;16;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;1;2675;17;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;3061;18;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3899;19;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;3848;20;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;3419;21;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2772;22;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;5695;23;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;4303;24;Critical
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2887;25;Critical
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;7546;26;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;B;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;3636;27;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;B;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;5;3952;28;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2870;29;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;A;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;3673;30;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;4;3744;31;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;5;2868;32;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;E;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;5158;33;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;5951;34;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;E;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;5049;35;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;D;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;3804;36;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;4083;37;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;3596;38;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2430;39;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;A;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;5;3065;40;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;B;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;2683;41;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;A;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;3918;42;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;E;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;4;4612;43;Filler
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;3788;44;Critical
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;13759;45;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;C;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;2;17558;46;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3391;47;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;F;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;3303;48;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;A;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;7;2075;49;Filler
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;4;3747;50;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;2103;51;Critical
22;21;;Abitur;with;326439;1,69021E+12;1,69021E+12;L;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;6;3044;52;Critical
22;21;;Abitur;without;326439;1,69021E+12;1,69021E+12;B;männlich;Deutsch;written;5bb8a14e002f190001a30ec7;64be96bd92df55f996900995;64ba4c8d312ce994ea1f9971;3;4035;53;Filler
